route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
74,000015,88____:049::8892007:8891009:10:1028:20210321,Bruges,13829,,6766,,1
74,000015,88____:049::8892007:8891009:10:1128:20210321,Bruges,13830,,6767,,1
74,000015,88____:049::8892007:8891009:10:1228:20210321,Bruges,13831,,6768,,1
74,000015,88____:049::8892007:8891009:10:1328:20210321,Bruges,13832,,6769,,1
74,000015,88____:049::8892007:8891009:10:1428:20210321,Bruges,13833,,6770,,1
74,000015,88____:049::8892007:8891009:10:1528:20210321,Bruges,13834,,6771,,1
74,000015,88____:049::8892007:8891009:10:1628:20210321,Bruges,13835,,6772,,1
74,000015,88____:049::8892007:8891009:10:1728:20210321,Bruges,13836,,6773,,1
74,000015,88____:049::8892007:8891009:10:1828:20210321,Bruges,13837,,6774,,1
74,000015,88____:049::8892007:8891009:10:1928:20210321,Bruges,13838,,6775,,1
74,000015,88____:049::8892007:8891009:10:2028:20210321,Bruges,13839,,6776,,1
74,000015,88____:049::8892007:8891009:10:2128:20210321,Bruges,13840,,6777,,1
74,000015,88____:049::8892007:8891009:10:2228:20210321,Bruges,13841,,6778,,1
74,000015,88____:049::8892007:8891009:10:2328:20210321,Bruges,13842,,6779,,1
21,000026,88____:049::8893401:8812047:10:2327:20210404,Jette,13872,,6780,,1
178,000031,88____:007::8814308:8819406:15:724:20210417,Brussels Airport-Zaventem,13905,,6781,,1
178,000025,88____:007::8814308:8819406:12:724:20210418,Brussels Airport-Zaventem,13905,,6782,,1
178,000031,88____:007::8814308:8819406:15:824:20210417,Brussels Airport-Zaventem,13906,,6783,,1
178,000025,88____:007::8814308:8819406:12:824:20210418,Brussels Airport-Zaventem,13906,,6784,,1
178,000031,88____:007::8814308:8819406:15:924:20210417,Brussels Airport-Zaventem,13907,,6785,,1
178,000025,88____:007::8814308:8819406:12:924:20210418,Brussels Airport-Zaventem,13907,,6786,,1
178,000031,88____:007::8814308:8819406:15:1024:20210417,Brussels Airport-Zaventem,13908,,6787,,1
178,000025,88____:007::8814308:8819406:12:1024:20210418,Brussels Airport-Zaventem,13908,,6788,,1
178,000031,88____:007::8814308:8819406:15:1124:20210417,Brussels Airport-Zaventem,13909,,6789,,1
178,000025,88____:007::8814308:8819406:12:1124:20210418,Brussels Airport-Zaventem,13909,,6790,,1
178,000031,88____:007::8814308:8819406:15:1224:20210417,Brussels Airport-Zaventem,13910,,6791,,1
178,000025,88____:007::8814308:8819406:12:1224:20210418,Brussels Airport-Zaventem,13910,,6792,,1
178,000031,88____:007::8814308:8819406:15:1324:20210417,Brussels Airport-Zaventem,13911,,6793,,1
178,000025,88____:007::8814308:8819406:12:1324:20210418,Brussels Airport-Zaventem,13911,,6794,,1
178,000031,88____:007::8814308:8819406:15:1424:20210417,Brussels Airport-Zaventem,13912,,6795,,1
178,000025,88____:007::8814308:8819406:12:1424:20210418,Brussels Airport-Zaventem,13912,,6796,,1
178,000031,88____:007::8814308:8819406:15:1524:20210417,Brussels Airport-Zaventem,13913,,6797,,1
178,000025,88____:007::8814308:8819406:12:1524:20210418,Brussels Airport-Zaventem,13913,,6798,,1
178,000031,88____:007::8814308:8819406:15:1624:20210417,Brussels Airport-Zaventem,13914,,6799,,1
178,000025,88____:007::8814308:8819406:12:1624:20210418,Brussels Airport-Zaventem,13914,,6800,,1
178,000031,88____:007::8814308:8819406:15:1724:20210417,Brussels Airport-Zaventem,13915,,6801,,1
178,000025,88____:007::8814308:8819406:12:1724:20210418,Brussels Airport-Zaventem,13915,,6802,,1
178,000031,88____:007::8814308:8819406:15:1824:20210417,Brussels Airport-Zaventem,13916,,6803,,1
178,000025,88____:007::8814308:8819406:12:1824:20210418,Brussels Airport-Zaventem,13916,,6804,,1
178,000031,88____:007::8814308:8819406:15:1924:20210417,Brussels Airport-Zaventem,13917,,6805,,1
178,000025,88____:007::8814308:8819406:12:1924:20210418,Brussels Airport-Zaventem,13917,,6806,,1
178,000031,88____:007::8814308:8819406:15:2024:20210417,Brussels Airport-Zaventem,13918,,6807,,1
178,000025,88____:007::8814308:8819406:12:2024:20210418,Brussels Airport-Zaventem,13918,,6808,,1
178,000031,88____:007::8814308:8819406:15:2124:20210417,Brussels Airport-Zaventem,13919,,6809,,1
178,000025,88____:007::8814308:8819406:12:2124:20210418,Brussels Airport-Zaventem,13919,,6810,,1
178,000031,88____:007::8814308:8819406:15:2224:20210417,Brussels Airport-Zaventem,13920,,6811,,1
178,000025,88____:007::8814308:8819406:12:2224:20210418,Brussels Airport-Zaventem,13920,,6812,,1
178,000031,88____:007::8814308:8819406:15:2324:20210417,Brussels Airport-Zaventem,13921,,6813,,1
178,000025,88____:007::8814308:8819406:12:2324:20210418,Brussels Airport-Zaventem,13921,,6814,,1
6,000099,88____:049::8872009:8875127:12:2407:20210402,Couvin,13922,,6815,,1
178,000031,88____:007::8814308:8819406:15:2424:20210417,Brussels Airport-Zaventem,13922,,6816,,1
178,000025,88____:007::8814308:8819406:12:2424:20210418,Brussels Airport-Zaventem,13922,,6817,,1
178,000031,88____:007::8819406:8814308:15:624:20210417,Hal,13927,,6818,,1
178,000025,88____:007::8819406:8814308:12:624:20210418,Hal,13927,,6819,,1
178,000031,88____:007::8819406:8814308:15:724:20210417,Hal,13928,,6820,,1
178,000025,88____:007::8819406:8814308:12:724:20210418,Hal,13928,,6821,,1
178,000031,88____:007::8819406:8814308:15:824:20210417,Hal,13929,,6822,,1
178,000025,88____:007::8819406:8814308:12:824:20210418,Hal,13929,,6823,,1
178,000031,88____:007::8819406:8814308:15:924:20210417,Hal,13930,,6824,,1
178,000025,88____:007::8819406:8814308:12:924:20210418,Hal,13930,,6825,,1
178,000031,88____:007::8819406:8814308:15:1024:20210417,Hal,13931,,6826,,1
178,000025,88____:007::8819406:8814308:12:1024:20210418,Hal,13931,,6827,,1
178,000031,88____:007::8819406:8814308:15:1124:20210417,Hal,13932,,6828,,1
178,000025,88____:007::8819406:8814308:12:1124:20210418,Hal,13932,,6829,,1
178,000031,88____:007::8819406:8814308:15:1224:20210417,Hal,13933,,6830,,1
178,000025,88____:007::8819406:8814308:12:1224:20210418,Hal,13933,,6831,,1
178,000031,88____:007::8819406:8814308:15:1324:20210417,Hal,13934,,6832,,1
178,000025,88____:007::8819406:8814308:12:1324:20210418,Hal,13934,,6833,,1
178,000031,88____:007::8819406:8814308:15:1424:20210417,Hal,13935,,6834,,1
178,000025,88____:007::8819406:8814308:12:1424:20210418,Hal,13935,,6835,,1
178,000031,88____:007::8819406:8814308:15:1524:20210417,Hal,13936,,6836,,1
178,000025,88____:007::8819406:8814308:12:1524:20210418,Hal,13936,,6837,,1
178,000031,88____:007::8819406:8814308:15:1624:20210417,Hal,13937,,6838,,1
178,000025,88____:007::8819406:8814308:12:1624:20210418,Hal,13937,,6839,,1
178,000031,88____:007::8819406:8814308:15:1724:20210417,Hal,13938,,6840,,1
178,000025,88____:007::8819406:8814308:12:1724:20210418,Hal,13938,,6841,,1
178,000031,88____:007::8819406:8814308:15:1824:20210417,Hal,13939,,6842,,1
178,000025,88____:007::8819406:8814308:12:1824:20210418,Hal,13939,,6843,,1
178,000031,88____:007::8819406:8814308:15:1924:20210417,Hal,13940,,6844,,1
178,000025,88____:007::8819406:8814308:12:1924:20210418,Hal,13940,,6845,,1
6,000099,88____:049::8875127:8872009:12:2135:20210402,Charleroi-Sud,13941,,6846,,1
178,000031,88____:007::8819406:8814308:15:2024:20210417,Hal,13941,,6847,,1
178,000025,88____:007::8819406:8814308:12:2024:20210418,Hal,13941,,6848,,1
6,000099,88____:049::8875127:8872009:12:2235:20210402,Charleroi-Sud,13942,,6849,,1
178,000031,88____:007::8819406:8814308:15:2124:20210417,Hal,13942,,6850,,1
178,000025,88____:007::8819406:8814308:12:2124:20210418,Hal,13942,,6851,,1
178,000031,88____:007::8819406:8814308:15:2224:20210417,Hal,13943,,6852,,1
178,000025,88____:007::8819406:8814308:12:2224:20210418,Hal,13943,,6853,,1
178,000031,88____:007::8819406:8814308:15:2324:20210417,Hal,13944,,6854,,1
178,000025,88____:007::8819406:8814308:12:2324:20210418,Hal,13944,,6855,,1
95,000155,88____:049::8814209:8814001:16:701:20210411,Bruxelles-Midi,13956,,6856,,1
95,000155,88____:049::8814209:8814001:16:801:20210411,Bruxelles-Midi,13957,,6857,,1
95,000155,88____:049::8814209:8814001:16:901:20210411,Bruxelles-Midi,13958,,6858,,1
95,000155,88____:049::8814209:8814001:16:1001:20210411,Bruxelles-Midi,13959,,6859,,1
95,000155,88____:049::8814209:8814001:16:1101:20210411,Bruxelles-Midi,13960,,6860,,1
95,000155,88____:049::8814209:8814001:16:1201:20210411,Bruxelles-Midi,13961,,6861,,1
95,000155,88____:049::8814209:8814001:16:1301:20210411,Bruxelles-Midi,13962,,6862,,1
95,000155,88____:049::8814209:8814001:16:1401:20210411,Bruxelles-Midi,13963,,6863,,1
95,000155,88____:049::8814209:8814001:16:1501:20210411,Bruxelles-Midi,13964,,6864,,1
95,000155,88____:049::8814209:8814001:16:1601:20210411,Bruxelles-Midi,13965,,6865,,1
95,000155,88____:049::8814209:8814001:16:1701:20210411,Bruxelles-Midi,13966,,6866,,1
95,000155,88____:049::8814209:8814001:16:1801:20210411,Bruxelles-Midi,13967,,6867,,1
95,000155,88____:049::8814209:8814001:16:1901:20210411,Bruxelles-Midi,13968,,6868,,1
95,000155,88____:049::8814209:8814001:16:2001:20210411,Bruxelles-Midi,13969,,6869,,1
95,000155,88____:049::8814209:8814001:16:2101:20210411,Bruxelles-Midi,13970,,6870,,1
95,000155,88____:049::8814209:8814001:16:2201:20210411,Bruxelles-Midi,13971,,6871,,1
95,000155,88____:049::8814209:8814001:16:2301:20210411,Bruxelles-Midi,13972,,6872,,1
95,000155,88____:049::8814209:8814001:16:2401:20210411,Bruxelles-Midi,13973,,6873,,1
95,000155,88____:049::8814209:8814001:16:2501:20210411,Bruxelles-Midi,13974,,6874,,1
95,000155,88____:049::8814001:8814209:16:634:20210411,Nivelles,13976,,6875,,1
95,000155,88____:049::8814001:8814209:16:734:20210411,Nivelles,13977,,6876,,1
95,000155,88____:049::8814001:8814209:16:834:20210411,Nivelles,13978,,6877,,1
95,000155,88____:049::8814001:8814209:16:934:20210411,Nivelles,13979,,6878,,1
95,000155,88____:049::8814001:8814209:16:1034:20210411,Nivelles,13980,,6879,,1
95,000155,88____:049::8814001:8814209:16:1134:20210411,Nivelles,13981,,6880,,1
95,000155,88____:049::8814001:8814209:16:1234:20210411,Nivelles,13982,,6881,,1
95,000155,88____:049::8814001:8814209:16:1334:20210411,Nivelles,13983,,6882,,1
95,000155,88____:049::8814001:8814209:16:1434:20210411,Nivelles,13984,,6883,,1
95,000155,88____:049::8814001:8814209:16:1534:20210411,Nivelles,13985,,6884,,1
95,000155,88____:049::8814001:8814209:16:1634:20210411,Nivelles,13986,,6885,,1
95,000155,88____:049::8814001:8814209:16:1734:20210411,Nivelles,13987,,6886,,1
95,000155,88____:049::8814001:8814209:16:1834:20210411,Nivelles,13988,,6887,,1
95,000155,88____:049::8814001:8814209:16:1934:20210411,Nivelles,13989,,6888,,1
95,000155,88____:049::8814001:8814209:16:2034:20210411,Nivelles,13990,,6889,,1
95,000155,88____:049::8814001:8814209:16:2134:20210411,Nivelles,13991,,6890,,1
95,000155,88____:049::8814001:8814209:16:2234:20210411,Nivelles,13992,,6891,,1
95,000155,88____:049::8814001:8814209:16:2334:20210411,Nivelles,13993,,6892,,1
95,000155,88____:049::8814001:8814209:16:2434:20210411,Nivelles,13994,,6893,,1
95,000155,88____:049::8814001:8814209:16:134:20210411,Nivelles,13995,,6894,,1
179,000186,88____:A73::8821006:8894508:8:725:20211210,Saint-Nicolas,1456,,6895,,1
179,000187,88____:A73::8821006:8894508:8:725:20210402,Saint-Nicolas,1456,,6896,,1
179,000186,88____:A73::8821006:8894508:8:825:20211210,Saint-Nicolas,1457,,6897,,1
179,000187,88____:A73::8821006:8894508:8:825:20210402,Saint-Nicolas,1457,,6898,,1
179,000186,88____:A73::8821006:8894508:8:925:20211210,Saint-Nicolas,1458,,6899,,1
179,000187,88____:A73::8821006:8894508:8:925:20210402,Saint-Nicolas,1458,,6900,,1
179,000186,88____:A73::8821006:8894508:8:1025:20211210,Saint-Nicolas,1459,,6901,,1
179,000187,88____:A73::8821006:8894508:8:1025:20210402,Saint-Nicolas,1459,,6902,,1
179,000186,88____:A73::8821006:8894508:8:1125:20211210,Saint-Nicolas,1460,,6903,,1
179,000187,88____:A73::8821006:8894508:8:1125:20210402,Saint-Nicolas,1460,,6904,,1
179,000186,88____:A73::8821006:8894508:8:1225:20211210,Saint-Nicolas,1461,,6905,,1
179,000187,88____:A73::8821006:8894508:8:1225:20210402,Saint-Nicolas,1461,,6906,,1
179,000186,88____:A73::8821006:8894508:8:1325:20211210,Saint-Nicolas,1462,,6907,,1
179,000187,88____:A73::8821006:8894508:8:1325:20210402,Saint-Nicolas,1462,,6908,,1
179,000186,88____:A73::8821006:8894508:8:1425:20211210,Saint-Nicolas,1463,,6909,,1
179,000187,88____:A73::8821006:8894508:8:1425:20210402,Saint-Nicolas,1463,,6910,,1
179,000186,88____:A73::8821006:8894508:8:1525:20211210,Saint-Nicolas,1464,,6911,,1
179,000187,88____:A73::8821006:8894508:8:1525:20210402,Saint-Nicolas,1464,,6912,,1
179,000186,88____:A73::8821006:8894508:8:1625:20211210,Saint-Nicolas,1465,,6913,,1
179,000187,88____:A73::8821006:8894508:8:1625:20210402,Saint-Nicolas,1465,,6914,,1
179,000186,88____:A73::8821006:8894508:8:1726:20211210,Saint-Nicolas,1466,,6915,,1
179,000187,88____:A73::8821006:8894508:8:1726:20210402,Saint-Nicolas,1466,,6916,,1
179,000186,88____:A73::8821006:8894508:8:1826:20211210,Saint-Nicolas,1467,,6917,,1
179,000187,88____:A73::8821006:8894508:8:1826:20210402,Saint-Nicolas,1467,,6918,,1
179,000186,88____:A73::8821006:8894508:8:1925:20211210,Saint-Nicolas,1468,,6919,,1
179,000187,88____:A73::8821006:8894508:8:1925:20210402,Saint-Nicolas,1468,,6920,,1
179,000186,88____:A73::8821006:8894508:8:2025:20211210,Saint-Nicolas,1469,,6921,,1
179,000187,88____:A73::8821006:8894508:8:2025:20210402,Saint-Nicolas,1469,,6922,,1
179,000186,88____:A73::8894508:8821006:8:701:20211210,Anvers-Central,1477,,6923,,1
179,000187,88____:A73::8894508:8821006:8:702:20210402,Anvers-Central,1477,,6924,,1
179,000186,88____:A73::8894508:8821006:8:804:20211210,Anvers-Central,1478,,6925,,1
179,000187,88____:A73::8894508:8821006:8:804:20210402,Anvers-Central,1478,,6926,,1
