route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
100,000161,88____:049::8896800:8896008:4:1335:20210328,Courtrai,13312,,6452,,1
100,000161,88____:049::8896800:8896008:4:1435:20210328,Courtrai,13313,,6453,,1
100,000161,88____:049::8896800:8896008:4:1535:20210328,Courtrai,13314,,6454,,1
100,000161,88____:049::8896800:8896008:4:1635:20210328,Courtrai,13315,,6455,,1
100,000161,88____:049::8896800:8896008:4:1735:20210328,Courtrai,13316,,6456,,1
100,000161,88____:049::8896800:8896008:4:1835:20210328,Courtrai,13317,,6457,,1
100,000161,88____:049::8896800:8896008:4:1935:20210328,Courtrai,13318,,6458,,1
100,000161,88____:049::8896800:8896008:4:2035:20210328,Courtrai,13319,,6459,,1
100,000161,88____:049::8896800:8896008:4:2135:20210328,Courtrai,13320,,6460,,1
100,000161,88____:049::8896800:8896008:4:2256:20210328,Courtrai,13321,,6461,,1
100,000161,88____:049::8896008:8896800:4:711:20210328,Roulers,13328,,6462,,1
100,000161,88____:049::8896008:8896800:4:811:20210328,Roulers,13329,,6463,,1
100,000161,88____:049::8896008:8896800:4:911:20210328,Roulers,13330,,6464,,1
100,000161,88____:049::8896008:8896800:4:1011:20210328,Roulers,13331,,6465,,1
