stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,country
8881174,,MASNUY-SAINT-PIERRE,,50.53655,3.96214,,,0,S8881174,,Belgium
8881190,,LENS,,50.55934,3.903226,,,0,S8881190,,Belgium
8881315,,NIMY,,50.47164,3.956093,,,0,S8881315,,Belgium
8881406,,OBOURG,,50.469879999999996,4.007808,,,0,S8881406,,Belgium
8881430,,HAVRE,,50.47075,4.059987,,,0,S8881430,,Belgium
8881455,,THIEU,,50.46954,4.09852,,,0,S8881455,,Belgium
8881463,,BRACQUEGNIES,,50.47446,4.126349,,,0,S8881463,,Belgium
8881505,,QUEVY,,50.34153,3.909489,,,0,S8881505,,Belgium
8881562,,GENLY,,50.390640000000005,3.91164,,,0,S8881562,,Belgium
8881570,,FRAMERIES,,50.40593,3.90659,,,0,S8881570,,Belgium
8882107,,LA LOUVIERE- CENTRE,,50.478159999999995,4.17986,,,0,S8882107,,Belgium
8882206,,LA LOUVIERE-SUD,,50.46498,4.190611,,,0,S8882206,,Belgium
8882230,,MORLANWELZ,,50.458,4.24737,,,0,S8882230,,Belgium
8882248,,CARNIERES,,50.447959999999995,4.263829,,,0,S8882248,,Belgium
8882339,,LEVAL,,50.4308,4.21104,,,0,S8882339,,Belgium
8882362,,BINCHE,,50.40876,4.17245,,,0,S8882362,,Belgium
8882701,,MANAGE,,50.50611,4.23468,,,0,S8882701,,Belgium
8883006,,BRAINE-LE-COMTE,,50.60508,4.13766,,,0,S8883006,,Belgium
8883022,,HENNUYERES,,50.65101,4.17589,,,0,S8883022,,Belgium
8883113,,SOIGNIES,,50.57277,4.067518,,,0,S8883113,,Belgium
8883121,,NEUFVILLES,,50.5436,4.01067,,,0,S8883121,,Belgium
8883212,,ECAUSSINNES,,50.56239,4.156637,,,0,S8883212,,Belgium
8883220,,MARCHE-LEZ-ECAUSSINNES,,50.546170000000004,4.177102,,,0,S8883220,,Belgium
8883238,,FAMILLEUREUX,,50.51936,4.21158,,,0,S8883238,,Belgium
8883311,,ENGHIEN,,50.69727,4.047359,,,0,S8883311,,Belgium
8883436,,SILLY,,50.66238,3.935861,,,0,S8883436,,Belgium
8883808,,TUBIZE,,50.69171,4.20573,,,0,S8883808,,Belgium
8884004,,SAINT-GHISLAIN,,50.442859999999996,3.820255,,,0,S8884004,,Belgium
8884319,,BOUSSU,,50.43638,3.797027,,,0,S8884319,,Belgium
8884327,,HAININ,,50.428020000000004,3.766893,,,0,S8884327,,Belgium
8884335,,QUIEVRAIN,,50.410109999999996,3.68608,,,0,S8884335,,Belgium
8884350,,THULIN,,50.42333,3.744708,,,0,S8884350,,Belgium
8884541,,QUAREGNON,,50.44983,3.856541,,,0,S8884541,,Belgium
8884566,,JEMAPPES,,50.45258,3.885583,,,0,S8884566,,Belgium
8884632,,VILLE-POMMEROEUL,,50.46454,3.724245,,,0,S8884632,,Belgium
8884640,,HARCHIES,,50.48257,3.698768,,,0,S8884640,,Belgium
8884715,,BLATON,,50.50546,3.666308,,,0,S8884715,,Belgium
8884855,,PERUWELZ,,50.5137,3.592777,,,0,S8884855,,Belgium
8884889,,CALLENELLE,,50.527359999999994,3.526178,,,0,S8884889,,Belgium
8885001,,TOURNAI,,50.61313,3.39694,,,0,S8885001,,Belgium
8885068,,FROYENNES,,50.62989,3.354835,,,0,S8885068,,Belgium
8885522,,ANTOING,,50.56963,3.45131,,,0,S8885522,,Belgium
8885530,,MAUBRAY,,50.54756,3.495523,,,0,S8885530,,Belgium
8885704,,MOUSCRON,,50.741,3.228449,,,0,S8885704,,Belgium
8885753,,HERSEAUX,,50.7139,3.245961,,,0,S8885753,,Belgium
8886009,,ATH,,50.626940000000005,3.777428,,,0,S8886009,,Belgium
8886041,,MAFFLE,,50.61435,3.800117,,,0,S8886041,,Belgium
8886058,,MEVERGNIES-ATTRE,,50.60011,3.833919,,,0,S8886058,,Belgium
8886066,,BRUGELETTE,,50.594229999999996,3.852551,,,0,S8886066,,Belgium
8886074,,CAMBRON-CASTEAU,,50.58676,3.87481,,,0,S8886074,,Belgium
8886348,,LEUZE,,50.600609999999996,3.616876,,,0,S8886348,,Belgium
8886504,,LESSINES,,50.71201,3.836434,,,0,S8886504,,Belgium
8886546,,ACREN,,50.7331,3.84709,,,0,S8886546,,Belgium
8886553,,HOURAING,,50.70306,3.835174,,,0,S8886553,,Belgium
8886561,,PAPIGNIES,,50.68658,3.82341,,,0,S8886561,,Belgium
8886587,,REBAIX,,50.66124,3.793624,,,0,S8886587,,Belgium
8889003,,QUEVY-FRONTIERE,,50.327709999999996,3.908753,,,0,,,Belgium
8889011,,MOUSCRON-FRONTIERE,,50.72172,3.196086,,,0,,,Belgium
8889045,,BLANDAIN-FRONTIERE,,50.617490000000004,3.26373,,,0,,,France
8891009,,BRUGES,,51.19723,3.21673,,,0,S8891009,,Belgium
8891033,,BRUGES-SAINT-PIERRE,,51.22312,3.201796,,,0,S8891033,,Belgium
8891116,,OOSTKAMP,,51.154109999999996,3.25747,,,0,S8891116,,Belgium
8891124,,BEERNEM,,51.128009999999996,3.32989,,,0,S8891124,,Belgium
8891132,,MARIA-AALTER,,51.10761,3.38673,,,0,S8891132,,Belgium
8891140,,AALTER,,51.0923,3.447848,,,0,S8891140,,Belgium
