stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id,country
stoparea:17877,amfs,AMERSFOORT SCHOTHORST,52.1747146623,5.4040235281,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17878,srn,SUSTEREN,51.060703240600006,5.86264371872,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17879,ahbf,AACHEN HBF,50.768073,6.09053,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17880,elet,LETTE (KR COESFELD),51.892503000000005,7.18695,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17881,ahp,ARNHEM VELPERPOORT,51.985012291000004,5.91968894005,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17883,ahz,ARNHEM ZUID,51.955175912600005,5.85187196732,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17884,kbd,KRABBENDIJKE,51.433193251300004,4.11706209183,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17886,kbk,KLARENBEEK,52.1780470643,6.08409762383,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17887,kmr,KLIMMEN-RANSDAAL,50.8665262336,5.89029729366,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17888,rtn,ROTTERDAM NOORD,51.9422708488,4.4816413521800005,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17890,hgz,HOOGEZAND-SAPPEMEER,53.1598342138,6.771064996719999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17891,rtb,ROTTERDAM BLAAK,51.9202727655,4.48890209198,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17892,hgv,HOOGEVEEN,52.7335209628,6.47298038006,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17893,wfm,WARFFUM,53.3902518525,6.56668066978,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17894,rtd,ROTTERDAM CENTRAAL,51.924383443800004,4.4697457552,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17895,rtz,ROTTERDAM ZUID,51.90379153520001,4.5108854770699995,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17896,hgl,HENGELO,52.262146077,6.793595552439999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17897,kmb,MONTABAUR,50.444846000000005,7.82565,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17898,ovn,OVERVEEN,52.391080111499996,4.60678517818,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17899,almo,ALMERE OOSTVAARDERS,52.4031487234,5.30027031898,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17900,ehzw,HOLZWICKEDE,51.50508,7.62052,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17901,laa,DEN HAAG LAAN V NOI,52.078990052200005,4.34311330318,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17903,cvm,CHEVREMONT,50.8755650167,6.05967879295,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17905,zdk,ZAANDAM KOGERVELD,52.4567628717,4.81926977634,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17906,omn,OMMEN,52.5098808529,6.41733527184,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17907,bl,BEILEN,52.854941008900006,6.52100265026,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17908,bn,BORNE,52.2984197949,6.74899578094,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17909,bh,BAD BENTHEIM,52.309659357,7.15778589249,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17910,bk,BEEK-ELSLOO,50.946919934300006,5.78601032495,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17911,bd,BREDA,51.595045049300005,4.779873490330001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17912,bf,BAFLO,53.361062566099996,6.51864767075,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17915,odz,OLDENZAAL,52.3064221046,6.93367660046,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17917,bv,BEVERWIJK,52.478350042299994,4.65630412102,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17918,ahpr,ARNHEM PRESIKHAAF,51.9876783549,5.943040251729999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17919,bp,BUITENPOST,53.256298728400004,6.14438831806,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17920,br,BLERICK,51.3725037143,6.1551278829600005,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17921,rhn,RHENEN,51.9585875454,5.578318834299999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17922,bnk,BUNNIK,52.0632960099,5.19551664591,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17923,bnn,BARNEVELD NOORD,52.1609712126,5.59876799583,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17925,bnc,BARNEVELD CENTRUM,52.1396188273,5.59076964855,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17926,wupph,WUPPERTAL HBF,51.254306,7.14935,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17928,dmn,DIEMEN,52.345476356099994,4.966796636580001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17931,aml,ALMELO,52.356941500699996,6.65620207787,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17933,esrt,SCHWERTE (RUHR),51.442219,7.55917,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17934,mth,MARTENSHOEK,53.1609084858,6.74005866051,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17935,cas,CASTRICUM,52.546051031000005,4.65877175331,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17936,edo,DORTMUND HBF,51.517853,7.45931,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17937,edn,EIJSDEN,50.7720763187,5.7098221778900005,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17938,mtr,MAASTRICHT RANDWYCK,50.837451450399996,5.71757376194,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17939,edd,DORTMUND-DERNE,51.567228,7.52836,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:17940,hil,HILLEGOM,52.3031075295,4.56605315208,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17941,amr,ALKMAAR,52.6377769745,4.740804433819999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17943,edc,EDE CENTRUM,52.0433914829,5.6683498621,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17944,avat,AMERSFOORT VATHORST,52.192192999999996,5.43342,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17945,hnk,HOORN KERSENBOOGERD,52.653322851000006,5.08487418294,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17947,vem,VOORST-EMPE,52.157746135100005,6.143540740009999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:17948,brn,BAARN,52.2083561771,5.28172016144,1,,Europe/Amsterdam,0.0,,,Netherlands
