route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
30949.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30949.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30949.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30949.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30949.000011.105:11,000011,S11,S 11,,2,,FFEA00,000000
30950.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30950.000011.102:29,000011,S29,S 29,,2,,FFEA00,000000
30950.000011.103:29,000011,S29,S 29,,2,,FFEA00,000000
30950.000011.104:29,000011,S29,S 29,,2,,FFEA00,000000
30950.000011.105:9,000011,S9,S 9,,2,,FFEA00,000000
30950.000011.106:9,000011,S9,S 9,,2,,FFEA00,000000
30950.000011.107:9,000011,S9,S 9,,2,,FFEA00,000000
30950.000011.108:29,000011,S29,S 29,,2,,FFEA00,000000
30951.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30951.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30952.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30952.000011.102:11,000011,S11,S 11,,2,,FFEA00,000000
30953.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30953.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30953.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30953.000011.104:11,000011,S11,S 11,,2,,FFEA00,000000
30954.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30954.000011.102:29,000011,S29,S 29,,2,,FFEA00,000000
30954.000011.103:29,000011,S29,S 29,,2,,FFEA00,000000
30954.000011.104:29,000011,S29,S 29,,2,,FFEA00,000000
30954.000011.105:9,000011,S9,S 9,,2,,FFEA00,000000
30954.000011.106:9,000011,S9,S 9,,2,,FFEA00,000000
30954.000011.107:29,000011,S29,S 29,,2,,FFEA00,000000
30955.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30955.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30955.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30956.000011.101:30956,000011,RE,RE 30956,,2,,,
30956.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30956.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30956.000011.104:11,000011,S11,S 11,,2,,FFEA00,000000
30957.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30957.000011.102:30957,000011,RE,RE 30957,,2,,,
30957.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30957.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30957.000011.105:11,000011,S11,S 11,,2,,FFEA00,000000
30957.000011.106:30957,000011,RE,RE 30957,,2,,,
30958.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30958.000011.102:29,000011,S29,S 29,,2,,FFEA00,000000
30958.000011.103:29,000011,S29,S 29,,2,,FFEA00,000000
30958.000011.104:30958,000011,RE,RE 30958,,2,,,
30958.000011.105:9,000011,S9,S 9,,2,,FFEA00,000000
30958.000011.106:11,000011,S11,S 11,,2,,FFEA00,000000
30958.000011.107:29,000011,S29,S 29,,2,,FFEA00,000000
30958.000011.108:30958,000011,RE,RE 30958,,2,,,
30959.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30959.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30959.000011.103:30959,000011,RE,RE 30959,,2,,,
30959.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30959.000011.105:21,000011,IC21,IC 21,,2,,FF0000,F2F2F2
30960.000011.101:30960,000011,RE,RE 30960,,2,,,
30960.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30960.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30960.000011.104:11,000011,S11,S 11,,2,,FFEA00,000000
30960.000011.105:30960,000011,RE,RE 30960,,2,,,
30961.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30961.000011.102:30961,000011,RE,RE 30961,,2,,,
30961.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30961.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30961.000011.105:11,000011,S11,S 11,,2,,FFEA00,000000
30961.000011.106:30961,000011,RE,RE 30961,,2,,,
30962.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30962.000011.102:30962,000011,RE,RE 30962,,2,,,
30962.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30962.000011.104:11,000011,S11,S 11,,2,,FFEA00,000000
30962.000011.105:29,000011,S29,S 29,,2,,FFEA00,000000
30962.000011.106:30962,000011,RE,RE 30962,,2,,,
30963.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30963.000011.102:30963,000011,RE,RE 30963,,2,,,
30963.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30963.000011.104:11,000011,S11,S 11,,2,,FFEA00,000000
30963.000011.105:21,000011,IC21,IC 21,,2,,FF0000,F2F2F2
30964.000011.101:30964,000011,RE,RE 30964,,2,,,
30964.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30964.000011.103:11,000011,S11,S 11,,2,,FFEA00,000000
30964.000011.104:30964,000011,RE,RE 30964,,2,,,
30965.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30965.000011.102:30965,000011,RE,RE 30965,,2,,,
30965.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30965.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30965.000011.105:11,000011,S11,S 11,,2,,FFEA00,000000
30965.000011.106:30965,000011,RE,RE 30965,,2,,,
30966.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30966.000011.102:30966,000011,RE,RE 30966,,2,,,
30966.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30966.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30966.000011.105:11,000011,S11,S 11,,2,,FFEA00,000000
30966.000011.106:29,000011,S29,S 29,,2,,FFEA00,000000
30966.000011.107:30966,000011,RE,RE 30966,,2,,,
30967.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30967.000011.102:30967,000011,RE,RE 30967,,2,,,
30967.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30967.000011.104:11,000011,S11,S 11,,2,,FFEA00,000000
30967.000011.105:21,000011,IC21,IC 21,,2,,FF0000,F2F2F2
30967.000011.106:61,000011,IC61,IC 61,,2,,FF0000,F2F2F2
30967.000011.107:30967,000011,RE,RE 30967,,2,,,
30967.000011.108:61,000011,IC61,IC 61,,2,,FF0000,F2F2F2
30968.000011.101:30968,000011,RE,RE 30968,,2,,,
30968.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30968.000011.103:11,000011,S11,S 11,,2,,FFEA00,000000
30968.000011.104:61,000011,IC61,IC 61,,2,,FF0000,F2F2F2
30968.000011.105:30968,000011,RE,RE 30968,,2,,,
30968.000011.106:61,000011,IC61,IC 61,,2,,FF0000,F2F2F2
30969.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30969.000011.102:30969,000011,RE,RE 30969,,2,,,
30969.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30969.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30969.000011.105:11,000011,S11,S 11,,2,,FFEA00,000000
30969.000011.106:30969,000011,RE,RE 30969,,2,,,
30970.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30970.000011.102:30970,000011,RE,RE 30970,,2,,,
30970.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30970.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30970.000011.105:29,000011,S29,S 29,,2,,FFEA00,000000
30970.000011.106:30970,000011,RE,RE 30970,,2,,,
30971.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30971.000011.102:30971,000011,RE,RE 30971,,2,,,
30971.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30971.000011.104:11,000011,S11,S 11,,2,,FFEA00,000000
30971.000011.105:30971,000011,RE,RE 30971,,2,,,
30972.000011.101:30972,000011,RE,RE 30972,,2,,,
30972.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30972.000011.103:11,000011,S11,S 11,,2,,FFEA00,000000
30972.000011.104:30972,000011,RE,RE 30972,,2,,,
30973.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30973.000011.102:30973,000011,RE,RE 30973,,2,,,
30973.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30973.000011.104:11,000011,S11,S 11,,2,,FFEA00,000000
30973.000011.105:30973,000011,RE,RE 30973,,2,,,
30974.000011.101:29,000011,S29,S 29,,2,,FFEA00,000000
30974.000011.102:29,000011,S29,S 29,,2,,FFEA00,000000
30974.000011.103:29,000011,S29,S 29,,2,,FFEA00,000000
30974.000011.104:30974,000011,RE,RE 30974,,2,,,
30974.000011.105:9,000011,S9,S 9,,2,,FFEA00,000000
30974.000011.106:9,000011,S9,S 9,,2,,FFEA00,000000
30974.000011.107:29,000011,S29,S 29,,2,,FFEA00,000000
30974.000011.108:30974,000011,RE,RE 30974,,2,,,
30975.000011.101:9,000011,S9,S 9,,2,,FFEA00,000000
30975.000011.102:30975,000011,RE,RE 30975,,2,,,
30975.000011.103:9,000011,S9,S 9,,2,,FFEA00,000000
30975.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30975.000011.105:21,000011,IC21,IC 21,,2,,FF0000,F2F2F2
30975.000011.106:30975,000011,RE,RE 30975,,2,,,
30976.000011.101:30976,000011,RE,RE 30976,,2,,,
30976.000011.102:9,000011,S9,S 9,,2,,FFEA00,000000
30976.000011.103:30976,000011,RE,RE 30976,,2,,,
30976.000011.104:9,000011,S9,S 9,,2,,FFEA00,000000
30976.000011.105:11,000011,S11,S 11,,2,,FFEA00,000000
30976.000011.106:30976,000011,R,R 30976,,2,,,
