stop_id,stop_name,stop_lat,stop_lon,country
8029031,STUTTGART-FEUERBACH,48.813673,9.169382,Germany
8029033,STUTTGART NORD,48.803769,9.188025999999999,Germany
8029376,STUTTGART HBF (TIEF),48.782999,9.179808,Germany
8029375,STUTTGART STADTMITTE,48.776229,9.172925,Germany
8029374,STUTTGART FEUERSEE,48.772768,9.166273,Germany
8029373,STUTTGART-SCHWABSTRASSE,48.770255,9.156959,Germany
8029041,STUTTGART-BAD CANNSTATT,48.801377,9.217531,Germany
8029377,STUTTGART-NECKARPARK,48.792173,9.241595,Germany
8029045,STUTTGART-UNTERTURKHEIM,48.779751,9.250569,Germany
8029052,STUTTGART-OBERTURKHEIM,48.762013,9.267889,Germany
8029053,ESSLINGEN-METTINGEN,48.747083,9.275830000000001,Germany
8029055,ESSLINGEN (NECKAR),48.73881,9.30008,Germany
8029017,LUDWIGSBURG PBF,48.891861999999996,9.18542,Germany
8029027,STUTTGART-ZAZENHAUSEN,48.836034000000005,9.199539,Germany
8029028,STUTTGART-MUNSTER,48.820724,9.215860000000001,Germany
8029029,STUTTGART EBITZWEG,48.803938,9.231701,Germany
8029060,PLOCHINGEN,48.71308,9.410810000000001,Germany
8029058,ALTBACH,48.720393,9.382384,Germany
8029057,ESSLINGEN-ZELL,48.724328,9.359389,Germany
8029056,OBERESSLINGEN,48.729876000000004,9.327266999999999,Germany
8029393,NUFRINGEN,48.620278000000006,8.889796,Germany
8029392,GARTRINGEN,48.641121999999996,8.909113,Germany
8029391,EHNINGEN(B BOBLINGEN),48.662682000000004,8.94426,Germany
8029382,HULB,48.679266999999996,8.982644,Germany
8029569,GOLDBERG(WURTT),48.696909999999995,9.020430000000001,Germany
8029381,STUTTGART-ROHR,48.717902,9.108328,Germany
8029367,STUTTGART-VAIHINGEN,48.726279,9.113226,Germany
8029044,STUTTGART-OSTERFELD,48.737651,9.116774000000001,Germany
8029723,STUTTGART-UNIVERSITAT,48.745837,9.105398,Germany
8029284,WERNAU (NECKAR),48.694247,9.413898,Germany
8029285,WENDLINGEN (NECKAR),48.672961,9.373011,Germany
8029286,KIRCHHEIM(TECK)-OTLINGEN,48.657764,9.416291000000001,Germany
8029287,KIRCHHEIM (TECK),48.644258,9.443927,Germany
8064619,FILDERSTADT (D),48.676493,9.217709,Germany
8079107,STUTTGART FLUGHAFEN/MESSE,48.690647999999996,9.19263,Germany
8029724,ECHTERDINGEN,48.692152,9.169164,Germany
8029369,LEINFELDEN,48.696506,9.142866,Germany
8029789,OBERAICHEN,48.705193,9.127335,Germany
8029512,STUTTGART NURNBERGER STR.,48.806422999999995,9.234858000000001,Germany
8029513,STUTTGART-SOMMERRAIN,48.81527,9.248327,Germany
8029514,FELLBACH,48.820049,9.269978,Germany
8029515,WAIBLINGEN,48.826124,9.299882,Germany
8029516,ROMMELSHAUSEN,48.815540000000006,9.319344000000001,Germany
8029518,STETTEN-BEINSTEIN,48.811924,9.35245,Germany
8029519,ENDERSBACH,48.813153,9.370228,Germany
8029520,BEUTELSBACH,48.810293,9.386028999999999,Germany
8029521,GRUNBACH,48.810359999999996,9.420029,Germany
