,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,country
2,8200101,,DOMMELDANGE (LU),,49.6339,6.136765,,,0,,,Luxembourg
3,8200102,,PFAFFENTHAL-KIRCHBERG (LU),,49.61913,6.132853,,,0,,,Luxembourg
4,8200110,,MERSCH (LU),,49.74889,6.106111,,,0,,,Luxembourg
5,8200120,,ETTELBRUCK(LU),,49.8475,6.104167,,,0,,,Luxembourg
6,8200128,,MICHELAU (LU),,49.897290000000005,6.09149,,,0,,,Luxembourg
7,8200130,,KAUTENBACH (LU),,49.95278,6.02,,,0,,,Luxembourg
8,8200132,,WILWERWILTZ (LU),,49.988890000000005,5.999167,,,0,,,Luxembourg
9,8200133,,DRAUFFELT (LU),,50.01778,6.006111,,,0,,,Luxembourg
10,8200134,,CLERVAUX (LU),,50.05472,6.031389,,,0,,,Luxembourg
11,8200136,,TROISVIERGES (LU),,50.121109999999994,6.000278,,,0,,,Luxembourg
12,8200510,,BERTRANGE STRASSEN (LU),,49.61111,6.05,,,0,,,Luxembourg
13,8200516,,MAMER (LU),,49.62587,6.020131,,,0,,,Luxembourg
14,8200518,,CAPELLEN (LU),,49.645,5.990833,,,0,,,Luxembourg
15,8200520,,KLEINBETTINGEN (LU),,49.646390000000004,5.916389,,,0,,,Luxembourg
16,8200930,,PETANGE,,49.55425,5.878681,,,0,,,Luxembourg
17,8200940,,RODANGE (LU),,49.55128,5.845025,,,0,,,Luxembourg
18,8210014,,MAMER-LYCEE (LU),,49.6194,6.028495,,,0,,,Luxembourg
19,8400058,,AMSTERDAM CS (NL),,52.35,4.916667,,,0,,,Netherlands
20,8400131,,BREDA (NL),,51.59568,4.780017,,,0,,,Netherlands
21,8400219,,EIJSDEN (NL),,50.77213,5.70979,,,0,,,Netherlands
22,8400280,,DEN HAAG HS (NL),,52.08333,4.3,,,0,,,Netherlands
23,8400424,,MAASTRICHT (NL),,50.85,5.705392,,,0,,,Netherlands
24,8400426,,MAASTRICHT RANDWIJCK (NL),,50.8385,5.716712,,,0,,,Netherlands
25,8400526,,ROOSENDAAL (NL),,51.54083,4.458692,,,0,,,Netherlands
26,8400530,,ROTTERDAM CS (NL),,51.91667,4.5,,,0,,,Netherlands
27,8400561,,SCHIPHOL (NL),,52.3,4.75,,,0,,,Netherlands
28,8727100,,PARIS NORD (FR),,48.86667,2.333333,,,0,,,France
29,8728105,,CROIX L'ALLUMETTE (FR),,50.6757,3.133809,,,0,,,France
30,8728600,,LILLE FLANDRES (FR),,50.63333,3.066667,,,0,,,France
31,8728606,,HELLEMMES (FR),,50.626940000000005,3.108888,,,0,,,France
32,8728654,,TOURCOING (FR),,50.71667,3.15,,,0,,,France
33,8728671,,CROIX WASQUEHAL (FR),,50.66667,3.15,,,0,,,France
34,8728673,,ROUBAIX (FR),,50.7,3.166667,,,0,,,France
35,8728683,,PONT DE BOIS (FR),,50.624159999999996,3.1275,,,0,,,France
36,8728685,,ANNAPPES (FR),,50.63333,3.15,,,0,,,France
37,8728686,,ASCQ (FR),,50.61667,3.166667,,,0,,,France
38,8728687,,BAISIEUX (FR),,50.6,3.25,,,0,,,France
39,8728710,,LEZENNES (FR),,50.61667,3.116667,,,0,,,France
40,8729500,,MAUBEUGE (F),,50.272890000000004,3.966566,,,0,,,France
41,8729560,,AULNOYE AYMERIES (F),,50.19744,3.843413,,,0,,,France
56,8811007,,SCHAERBEEK,,50.87851,4.37864,,,0,S8811007,,Belgium
60,8811106,,EVERE,,50.867779999999996,4.400963,,,0,S8811106,,Belgium
66,8811130,,HAREN-SUD,,50.88969,4.415358,,,0,S8811130,,Belgium
70,8811148,,BUDA,,50.9075,4.417075,,,0,S8811148,,Belgium
74,8811155,,HAREN,,50.88888,4.41998,,,0,S8811155,,Belgium
78,8811163,,BORDET,,50.877790000000005,4.410024,,,0,S8811163,,Belgium
82,8811171,,MEISER,,50.85407,4.394424,,,0,S8811171,,Belgium
90,8811189,,VILVORDE,,50.92458,4.432826,,,0,S8811189,,Belgium
94,8811197,,MERODE,,50.83928,4.398932,,,0,S8811197,,Belgium
98,8811205,,DELTA,,50.81836,4.403871,,,0,S8811205,,Belgium
104,8811213,,DIEGEM,,50.89048,4.442773,,,0,S8811213,,Belgium
110,8811221,,ZAVENTEM,,50.88572,4.46989,,,0,S8811221,,Belgium
116,8811247,,NOSSEGEM,,50.883309999999994,4.50611,,,0,S8811247,,Belgium
122,8811254,,KORTENBERG,,50.89307,4.5433,,,0,S8811254,,Belgium
128,8811262,,ERPS-KWERPS,,50.89651,4.585,,,0,S8811262,,Belgium
134,8811270,,VELTEM,,50.90052,4.63352,,,0,S8811270,,Belgium
139,8811288,,HERENT,,50.903529999999996,4.67219,,,0,S8811288,,Belgium
147,8811304,,BRUXELLES-LUXEMBOURG,,50.83894,4.373676,,,0,S8811304,,Belgium
151,8811403,,GERMOIR,,50.83,4.379445,,,0,S8811403,,Belgium
157,8811411,,ETTERBEEK,,50.82219,4.389517,,,0,S8811411,,Belgium
161,8811429,,WATERMAEL,,50.80917,4.399885,,,0,S8811429,,Belgium
165,8811437,,BOITSFORT,,50.7947,4.408114,,,0,S8811437,,Belgium
169,8811445,,GROENENDAAL,,50.7661,4.44949,,,0,S8811445,,Belgium
173,8811460,,HOEILAART,,50.76016,4.46741,,,0,S8811460,,Belgium
177,8811510,,LA HULPE,,50.73796,4.49706,,,0,S8811510,,Belgium
181,8811528,,GENVAL,,50.7257,4.514834,,,0,S8811528,,Belgium
185,8811536,,RIXENSART,,50.71141,4.53286,,,0,S8811536,,Belgium
189,8811544,,PROFONDSART,,50.69965,4.545435,,,0,S8811544,,Belgium
201,8811601,,OTTIGNIES,,50.67367,4.56936,,,0,S8811601,,Belgium
205,8811635,,LIMAL,,50.69214,4.5753,,,0,S8811635,,Belgium
210,8811676,,LOUVAIN-LA-NEUVE,,50.6698,4.615746,,,0,S8811676,,Belgium
214,8811718,,BIERGES-WALIBI,,50.707770000000004,4.59475,,,0,S8811718,,Belgium
219,8811726,,WAVRE,,50.71627,4.60478,,,0,S8811726,,Belgium
223,8811734,,BASSE-WAVRE,,50.72442,4.621653,,,0,S8811734,,Belgium
227,8811742,,GASTUCHE,,50.73665,4.6496,,,0,S8811742,,Belgium
231,8811759,,ARCHENNES,,50.75435,4.662441,,,0,S8811759,,Belgium
235,8811767,,FLORIVAL,,50.7615,4.65387,,,0,S8811767,,Belgium
239,8811775,,PECROT,,50.77851,4.651483,,,0,S8811775,,Belgium
243,8811817,,CEROUX-MOUSTY,,50.65994,4.569049,,,0,S8811817,,Belgium
247,8811825,,COURT-SAINT-ETIENNE,,50.64557,4.56582,,,0,S8811825,,Belgium
253,8811916,,BRUXELLES-SCHUMAN,,50.84328,4.380725,,,0,S8811916,,Belgium
257,8811940,,ANDERLECHT,,50.8179,4.2918,,,0,S8811940,,Belgium
271,8812005,,BRUXELLES-NORD,,50.85966,4.36085,,,0,S8812005,,Belgium
275,8812013,,SIMONIS,,50.863640000000004,4.328982,,,0,S8812013,,Belgium
279,8812021,,BOCKSTAEL,,50.87943,4.34851,,,0,S8812021,,Belgium
285,8812047,,JETTE,,50.880829999999996,4.326218,,,0,S8812047,,Belgium
289,8812062,,ZELLIK,,50.890029999999996,4.274546,,,0,S8812062,,Belgium
293,8812070,,ASSE,,50.906490000000005,4.207988,,,0,S8812070,,Belgium
297,8812112,,MOLLEM,,50.933479999999996,4.216967,,,0,S8812112,,Belgium
301,8812120,,MERCHTEM,,50.95495,4.222719,,,0,S8812120,,Belgium
306,8812146,,OPWIJK,,50.974779999999996,4.187317,,,0,S8812146,,Belgium
310,8812153,,HEIZIJDE,,50.9896,4.156174,,,0,S8812153,,Belgium
314,8812161,,LEBBEKE,,51.00501,4.134372,,,0,S8812161,,Belgium
318,8812211,,BERCHEM-SAINTE-AGATHE,,50.87263,4.289892,,,0,S8812211,,Belgium
322,8812229,,GRAND-BIGARD,,50.86834,4.273542,,,0,S8812229,,Belgium
326,8812237,,DILBEEK,,50.86673,4.24339,,,0,S8812237,,Belgium
330,8812245,,SINT-MARTENS-BODEGEM,,50.86716,4.20508,,,0,S8812245,,Belgium
335,8812252,,TERNAT,,50.874520000000004,4.16534,,,0,S8812252,,Belgium
339,8812260,,ESSENE LOMBEEK,,50.88245,4.11517,,,0,S8812260,,Belgium
347,8813003,,BRUXELLES-CENTRAL,,50.84565,4.356804,,,0,S8813003,,Belgium
351,8813037,,BRUXELLES-CHAPELLE,,50.84113,4.34787,,,0,S8813037,,Belgium
355,8813045,,BRUXELLES-CONGRES,,50.85207,4.362051,,,0,S8813045,,Belgium
376,8814001,,BRUXELLES-MIDI,,50.83571,4.33653,,,0,S8814001,,Belgium
380,8814118,,FOREST-EST,,50.8102,4.32094,,,0,S8814118,,Belgium
384,8814126,,UCCLE-STALLE,,50.802409999999995,4.3239,,,0,S8814126,,Belgium
388,8814134,,UCCLE-CALEVOET,,50.79175,4.332211,,,0,S8814134,,Belgium
392,8814142,,LINKEBEEK,,50.77369,4.339434,,,0,S8814142,,Belgium
396,8814159,,HOLLEKEN,,50.76763,4.353956,,,0,S8814159,,Belgium
400,8814167,,RHODE-SAINT-GENESE,,50.74781,4.362001,,,0,S8814167,,Belgium
404,8814175,,DE HOEK,,50.73881,4.370713,,,0,S8814175,,Belgium
410,8814209,,NIVELLES,,50.59964,4.335065,,,0,S8814209,,Belgium
414,8814241,,LILLOIS,,50.64542,4.365369,,,0,S8814241,,Belgium
419,8814258,,BRAINE-L'ALLEUD,,50.684779999999996,4.37553,,,0,S8814258,,Belgium
423,8814266,,WATERLOO,,50.71542,4.383485,,,0,S8814266,,Belgium
430,8814308,,HAL,,50.73393,4.240633,,,0,S8814308,,Belgium
434,8814332,,LEMBEEK,,50.715109999999996,4.22158,,,0,S8814332,,Belgium
438,8814340,,BUIZINGEN,,50.75158,4.25856,,,0,S8814340,,Belgium
442,8814357,,LOT,,50.76636,4.2737,,,0,S8814357,,Belgium
446,8814365,,RUISBROEK,,50.79183,4.29533,,,0,S8814365,,Belgium
450,8814373,,FOREST-MIDI,,50.80922,4.309167,,,0,S8814373,,Belgium
454,8814415,,HUIZINGEN,,50.7519,4.266485,,,0,S8814415,,Belgium
458,8814423,,BEERSEL,,50.76661,4.302603,,,0,S8814423,,Belgium
462,8814431,,MOENSBERG,,50.77832,4.330729,,,0,S8814431,,Belgium
466,8814449,,SAINT-JOB,,50.79441,4.362758,,,0,S8814449,,Belgium
470,8814456,,BOONDAEL,,50.801359999999995,4.393081,,,0,S8814456,,Belgium
474,8814464,,VIVIER D OIE,,50.79615,4.37405,,,0,S8814464,,Belgium
478,8814472,,ARCADES,,50.80992,4.39854,,,0,S8814472,,Belgium
482,8815016,,TOUR-ET-TAXIS,,50.8728,4.342105,,,0,S8815016,,Belgium
486,8815040,,BRUXELLES-OUEST,,50.84856,4.32104,,,0,S8815040,,Belgium
491,8819406,,BRUSSELS AIRPORT-ZAVENTEM,,50.89646,4.482072,,,0,S8819406,,Belgium
507,8821006,,ANVERS-CENTRAL,,51.2172,4.421098,,,0,S8821006,,Belgium
511,8821063,,ANVERS-LUCHTBAL,,51.24413,4.425033,,,0,S8821063,,Belgium
515,8821071,,EKEREN,,51.28163,4.434153,,,0,S8821071,,Belgium
519,8821089,,ANVERS-NOORDERDOKKEN,,51.26164,4.42791,,,0,S8821089,,Belgium
523,8821105,,NOORDERKEMPEN (BRECHT),,51.35683,4.6322,,,0,S8821105,,Belgium
532,8821121,,ANVERS-BERCHEM,,51.19923,4.432219,,,0,S8821121,,Belgium
536,8821147,,MORTSEL,,51.182959999999994,4.448435,,,0,S8821147,,Belgium
540,8821154,,MORTSEL-DEURNESTEENWEG,,51.18303,4.446515,,,0,S8821154,,Belgium
546,8821196,,ANVERS-SUD,,51.197829999999996,4.390264,,,0,S8821196,,Belgium
