,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,country
941,8833233,,WEZEMAAL,,50.95626,4.747681,,,0,S8833233,,Belgium
945,8833258,,LANGDORP,,51.00247,4.86354,,,0,S8833258,,Belgium
949,8833266,,TESTELT,,51.009859999999996,4.94583,,,0,S8833266,,Belgium
953,8833274,,ZICHEM,,51.00669,4.98736,,,0,S8833274,,Belgium
957,8833308,,TIRLEMONT,,50.80802,4.92581,,,0,S8833308,,Belgium
961,8833449,,EZEMAAL,,50.77213,4.99422,,,0,S8833449,,Belgium
968,8833605,,LANDEN,,50.74793,5.07966,,,0,S8833605,,Belgium
972,8833670,,NEERWINDEN,,50.76396,5.03632,,,0,S8833670,,Belgium
983,8841004,,LIEGE-GUILLEMINS,,50.62455,5.566698,,,0,S8841004,,Belgium
990,8841202,,ANS,,50.66121,5.5097,,,0,S8841202,,Belgium
994,8841319,,BIERSET-AWANS,,50.658609999999996,5.46055,,,0,S8841319,,Belgium
998,8841327,,VOROUX,,50.661809999999996,5.42956,,,0,S8841327,,Belgium
1004,8841400,,WAREMME,,50.69455,5.24948,,,0,S8841400,,Belgium
1008,8841434,,BLERET,,50.68507,5.286398,,,0,S8841434,,Belgium
1012,8841442,,REMICOURT,,50.67861,5.32141,,,0,S8841442,,Belgium
1016,8841459,,MOMALLE,,50.669909999999994,5.3676,,,0,S8841459,,Belgium
1020,8841467,,FEXHE-LE-HAUT-CLOCHER,,50.66405,5.39845,,,0,S8841467,,Belgium
1026,8841525,,LIEGE-SAINT-LAMBERT,,50.64635,5.570451,,,0,S8841525,,Belgium
1030,8841558,,LIEGE-CARRE,,50.6403,5.56113,,,0,S8841558,,Belgium
1036,8841608,,HERSTAL,,50.66091,5.622762,,,0,S8841608,,Belgium
1040,8841665,,MILMORT,,50.69246,5.600094,,,0,S8841665,,Belgium
1045,8841673,,LIERS,,50.69818,5.566829,,,0,S8841673,,Belgium
1048,8841731,,GLONS,,50.75043,5.535429,,,0,S8841731,,Belgium
1054,8842002,,ANGLEUR,,50.61314,5.59983,,,0,S8842002,,Belgium
1058,8842036,,CHENEE,,50.60802,5.616075,,,0,S8842036,,Belgium
1062,8842051,,CHAUDFONTAINE,,50.58698,5.643734,,,0,S8842051,,Belgium
1066,8842630,,TILFF,,50.57063,5.583933,,,0,S8842630,,Belgium
1070,8842648,,MERY,,50.54762,5.587237,,,0,S8842648,,Belgium
1074,8842655,,HONY,,50.53992,5.573567,,,0,S8842655,,Belgium
1078,8842663,,ESNEUX,,50.530559999999994,5.572567,,,0,S8842663,,Belgium
1082,8842689,,POULSEUR,,50.509209999999996,5.578855,,,0,S8842689,,Belgium
1086,8842705,,RIVAGE,,50.48328,5.587635,,,0,S8842705,,Belgium
1090,8842754,,AYWAILLE,,50.47293,5.672496,,,0,S8842754,,Belgium
1094,8842838,,COMBLAIN-LA-TOUR,,50.45686,5.566959,,,0,S8842838,,Belgium
1098,8842846,,HAMOIR,,50.42818,5.533561,,,0,S8842846,,Belgium
1102,8842853,,SY,,50.403259999999996,5.523566,,,0,S8842853,,Belgium
1106,8843067,,SERAING,,50.6089,5.513777,,,0,S8843067,,Belgium
1110,8843133,,SCLESSIN,,50.609840000000005,5.55891,,,0,S8843133,,Belgium
1114,8843141,,PONT-DE-SERAING,,50.61965,5.510161,,,0,S8843141,,Belgium
1118,8843158,,JEMEPPE-SUR-MEUSE,,50.61845,5.497871,,,0,S8843158,,Belgium
1122,8843166,,FLEMALLE-GRANDE,,50.60535,5.48098,,,0,S8843166,,Belgium
1126,8843174,,OUGREE,,50.6054,5.536972,,,0,S8843174,,Belgium
1133,8843208,,FLEMALLE-HAUTE,,50.59531,5.457661,,,0,S8843208,,Belgium
1137,8843224,,LEMAN,,50.6004,5.46831,,,0,S8843224,,Belgium
1141,8843240,,ENGIS,,50.58296,5.40199,,,0,S8843240,,Belgium
1147,8843307,,HUY,,50.52724,5.23421,,,0,S8843307,,Belgium
1151,8843323,,AMPSIN,,50.53922,5.289727,,,0,S8843323,,Belgium
1155,8843331,,AMAY,,50.546009999999995,5.32049,,,0,S8843331,,Belgium
1159,8843349,,HAUTE-FLONE,,50.553490000000004,5.330336,,,0,S8843349,,Belgium
1165,8843406,,STATTE,,50.52828,5.21968,,,0,S8843406,,Belgium
1169,8843430,,BAS-OHA,,50.52263,5.19094,,,0,S8843430,,Belgium
1173,8843901,,BRESSOUX,,50.64396,5.611062,,,0,S8843901,,Belgium
1180,8844008,,VERVIERS-CENTRAL,,50.58814,5.854913,,,0,S8844008,,Belgium
1184,8844057,,VERVIERS-PALAIS,,50.590920000000004,5.865333,,,0,S8844057,,Belgium
1190,8844206,,PEPINSTER,,50.56818,5.806155,,,0,S8844206,,Belgium
1194,8844230,,NESSONVAUX,,50.57209,5.741577,,,0,S8844230,,Belgium
1198,8844255,,FRAIPONT,,50.565059999999995,5.723666,,,0,S8844255,,Belgium
1202,8844271,,TROOZ,,50.573209999999996,5.688351,,,0,S8844271,,Belgium
1205,8844313,,PEPINSTER-CITE,,50.5634,5.804399,,,0,S8844313,,Belgium
1208,8844321,,JUSLENVILLE,,50.54472,5.809935,,,0,S8844321,,Belgium
1212,8844339,,THEUX,,50.536159999999995,5.81503,,,0,S8844339,,Belgium
1215,8844347,,FRANCHIMONT,,50.52572,5.82222,,,0,S8844347,,Belgium
1218,8844404,,SPA,,50.4903,5.855101,,,0,S8844404,,Belgium
1221,8844420,,SPA-GERONSTERE,,50.4893,5.866211,,,0,S8844420,,Belgium
1228,8844503,,WELKENRAEDT,,50.65971,5.975386,,,0,S8844503,,Belgium
1232,8844545,,DOLHAIN-GILEPPE,,50.61625,5.93649,,,0,S8844545,,Belgium
1236,8844628,,EUPEN,,50.63516,6.03711,,,0,S8844628,,Belgium
1239,8844644,,HERGENRATH,,50.71821,6.041336,,,0,S8844644,,Belgium
1244,8845005,,GOUVY,,50.189409999999995,5.95391,,,0,S8845005,,Belgium
1248,8845146,,VIELSALM,,50.278929999999995,5.909209,,,0,S8845146,,Belgium
1252,8845203,,TROIS-PONTS,,50.36822,5.873579,,,0,S8845203,,Belgium
1255,8845229,,COO,,50.39113,5.880474,,,0,S8845229,,Belgium
1259,8846201,,VISE,,50.737759999999994,5.692548,,,0,S8846201,,Belgium
1260,8847258,,Y.RENORY,,50.60485,5.55788,,,0,,,Belgium
1261,8849023,,HERGENRATH-FRONTIERE,,50.718959999999996,6.041269,,,0,,,Belgium
1262,8849064,,VISE-FRONTIERE,,50.75841,5.702903,,,0,,,Belgium
1263,8849072,,GOUVY-FRONTIERE,,50.17165,5.968613,,,0,,,Luxembourg
1268,8861119,,RONET,,50.45774,4.82842,,,0,S8861119,,Belgium
1273,8861127,,FLAWINNE,,50.45624,4.8063,,,0,S8861127,,Belgium
1277,8861135,,FLOREFFE,,50.443329999999996,4.762371,,,0,S8861135,,Belgium
1281,8861143,,FRANIERE,,50.43954,4.73355,,,0,S8861143,,Belgium
1285,8861150,,MOUSTIER,,50.45275,4.69381,,,0,S8861150,,Belgium
1286,8861168,,HAM-SUR-SAMBRE,,50.45255,4.66939,,,0,,,Belgium
1293,8861200,,GEMBLOUX,,50.570479999999996,4.691497,,,0,S8861200,,Belgium
1296,8861317,,CHAPELLE-DIEU,,50.55738,4.697624,,,0,S8861317,,Belgium
1299,8861333,,MAZY,,50.5135,4.67583,,,0,S8861333,,Belgium
1303,8861416,,LONZEE,,50.55194,4.7201,,,0,S8861416,,Belgium
1307,8861424,,BEUZET,,50.534209999999995,4.748531,,,0,S8861424,,Belgium
1311,8861432,,SAINT-DENIS-BOVESSE,,50.5213,4.76779,,,0,S8861432,,Belgium
1315,8861440,,RHISNES,,50.49935,4.80187,,,0,S8861440,,Belgium
1319,8861515,,ERNAGE,,50.59082,4.66854,,,0,S8861515,,Belgium
1323,8861523,,CHASTRE,,50.60882,4.648884,,,0,S8861523,,Belgium
1327,8861531,,BLANMONT,,50.61945,4.63639,,,0,S8861531,,Belgium
1331,8861549,,MONT-SAINT-GUIBERT,,50.637609999999995,4.613883,,,0,S8861549,,Belgium
1335,8862018,,STOCKEM,,49.690940000000005,5.769116,,,0,S8862018,,Belgium
1346,8863008,,NAMUR,,50.468790000000006,4.86222,,,0,S8863008,,Belgium
1351,8863115,,JAMBES,,50.45485,4.876143,,,0,S8863115,,Belgium
1355,8863156,,LUSTIN,,50.36975,4.877468,,,0,S8863156,,Belgium
1359,8863354,,JAMBES-EST,,50.4548,4.88026,,,0,S8863354,,Belgium
1363,8863362,,DAVE-SAINT-MARTIN,,50.4291,4.884417,,,0,S8863362,,Belgium
